product_id,product_category,original_price,discount_applied,units_sold
4548,Cameras,649.0,30,280
17178,Other Electronics,14.29,0,210
38047,Networking,89.99,0,88
39192,Cameras,49.99,30,292
17329,Phones,119.99,10,1164
1864,Other Electronics,89.05,5,1028
12263,Other Electronics,40.99,5,100
18441,Chargers & Cables,59.95,5,209
1241,Cameras,105.79,30,2884
12353,Speakers,149.95,0,94
25884,Other Electronics,7.29,30,713
14200,Phones,49.99,30,270
981,Storage,23.74,20,5104
10305,Cameras,25.99,0,305
3603,Cameras,132.99,20,621
13983,Speakers,149.95,15,126
35767,TV & Display,169.0,0,40
23034,Headphones,124.99,0,45
25266,Cameras,49.95,0,94
15618,Phones,26.66,5,54
6908,Laptops,39.99,5,324
19664,Printers & Scanners,27.33,20,228
16501,Power & Batteries,25.49,20,216
13633,Other Electronics,8.78,0,393
25776,Laptops,1899.0,20,72
28419,Phones,109.99,5,203
16086,Other Electronics,14.29,30,266
26880,Phones,15.87,30,5797
2208,Phones,34.99,30,1457
37244,Phones,34.99,20,268
38067,Power & Batteries,23.26,15,23881
39330,Other Electronics,12.23,5,560
14776,Phones,199.99,15,56
42148,Chargers & Cables,329.99,20,59
15612,Other Electronics,269.0,10,62
31704,Power & Batteries,23.26,40,32575
15166,Chargers & Cables,85.99,40,68
32189,Laptops,38.99,0,211
35590,Phones,13.99,40,668
33468,Printers & Scanners,609.0,40,81
6013,Storage,339.15,5,100
16707,Other Electronics,14.29,30,313
37359,Cameras,769.0,15,58
24833,Laptops,16.87,10,323
15691,Laptops,299.99,10,51
24715,Headphones,124.99,5,66
2638,Storage,84.99,5,540
39220,Laptops,1649.99,40,90
18882,Storage,93.99,10,128
9954,Chargers & Cables,19.99,0,291
34887,Phones,13.99,0,383
23239,Storage,99.99,15,1233
36808,Laptops,25.99,0,495
29190,Power & Batteries,23.26,10,22345
4160,Headphones,199.99,40,699
28587,Laptops,269.0,10,113
30677,Other Electronics,7.29,20,626
15558,Other Electronics,269.0,10,76
29226,Other Electronics,82.99,40,161
41503,Other Electronics,24.49,0,387
12155,Phones,185.0,30,147
31926,Laptops,269.0,15,95
2239,Cameras,69.95,20,676
7990,Cameras,69.95,0,473
28634,Laptops,659.0,15,64
165,Printers & Scanners,91.9,0,9920
22633,Phones,119.99,20,1258
2129,Phones,82.6,10,1140
23104,Storage,199.99,40,141
6534,Phones,179.99,30,137
14879,Other Electronics,40.99,20,133
36774,Other Electronics,24.99,40,486
18372,Other Electronics,129.94,10,117
38737,Phones,27.99,20,392
23677,Printers & Scanners,80.05,5,126
16066,TV & Display,24.99,30,279
32989,Power & Batteries,7.79,0,540
13553,Other Electronics,8.78,0,385
35693,Phones,27.99,30,451
36896,Networking,799.99,5,54
40136,Phones,179.95,40,3142
1261,Other Electronics,149.0,10,1178
38216,Other Electronics,24.99,0,292
5671,Other Electronics,14.15,40,1480
6273,Chargers & Cables,11.69,5,563
14819,Power & Batteries,112.08,40,167
27208,Phones,109.99,0,184
28026,Chargers & Cables,19.98,15,486
34595,TV & Display,59.99,10,97
28459,Other Electronics,54.99,15,121
23498,Storage,199.99,30,149
41319,Phones,219.99,40,170
6380,Cameras,69.95,10,551
28199,Power & Batteries,23.26,5,21300
41698,Storage,21.39,10,347
16596,Printers & Scanners,27.33,10,202
30390,Power & Batteries,7.79,5,514
39325,Laptops,949.0,30,84
16906,Other Electronics,14.29,10,240
38249,Laptops,321.89,30,73
36228,Headphones,19.99,30,63
28487,Speakers,69.99,30,416
41,Other Electronics,14.39,0,70111
3971,Other Electronics,39.99,20,1330
18591,Cameras,115.13,30,141
22148,Power & Batteries,17.99,5,95377
26458,Laptops,269.0,20,141
21432,Storage,199.99,30,130
35752,Phones,13.99,5,465
40557,Laptops,8.99,5,535
14784,Speakers,199.99,15,50
9997,Chargers & Cables,34.56,15,385
25645,Cameras,49.95,10,119
34063,Phones,119.99,30,1418
3267,Other Electronics,56.95,30,1471
3075,Other Electronics,569.95,20,64
13145,Phones,26.95,5,5378
40137,TV & Display,148.9,30,151
31735,TV & Display,79.0,10,128
5800,Phones,9.79,40,1602
17515,TV & Display,24.99,40,327
6654,Other Electronics,13.59,40,1289
25084,Laptops,24.99,0,289
30031,Laptops,539.99,5,31
35947,Smart Home,184.95,40,175
19883,Laptops,349.0,0,41
11026,Other Electronics,274.95,40,172
31075,Power & Batteries,16.61,10,1139
35733,Smart Home,184.95,15,96
22840,Cameras,269.95,10,114
4168,Storage,119.99,0,50
41179,Cameras,499.99,5,60
41758,Other Electronics,9.1,20,758
19294,Storage,93.99,30,157
266,Power & Batteries,6.59,10,33777
39961,Printers & Scanners,239.99,5,94
30142,Printers & Scanners,609.0,30,73
13486,Speakers,149.95,15,125
38138,Laptops,949.0,15,78
17073,Printers & Scanners,27.33,30,289
34930,Laptops,139.99,15,117
31557,Laptops,29.99,5,206
8934,Phones,23.99,10,1048
36628,Phones,13.99,5,450
2034,Power & Batteries,25.47,5,21226
8129,Cameras,74.99,30,429
29900,Other Electronics,7.29,20,609
2337,Phones,119.99,20,1261
23462,Laptops,39.99,10,117
8582,Cameras,349.99,30,68
34281,Phones,32.99,20,509
33039,Cameras,74.99,15,247
34294,Networking,143.95,20,225
32412,Chargers & Cables,19.98,15,523
523,TV & Display,16.88,10,7864
3834,Phones,153.47,5,422
14327,Other Electronics,33.9,5,127
1901,Power & Batteries,19.98,20,126781
37252,Other Electronics,89.95,15,103
11166,Headphones,99.99,0,84
10962,Laptops,36.99,40,290
1028,Networking,69.99,0,3063
32452,Laptops,38.99,40,341
23422,Power & Batteries,16.61,0,956
40758,Cameras,59.99,5,218
27344,Chargers & Cables,19.98,30,590
